ndbcName,timeDelta,caloosLink
Half Moon Bay,"847 days, 22 hours, 27 minutes",https://erddap.cencoos.org/erddap/tabledap/gov-ndbc-46012.html
Bodega Bay,47 minutes,https://erddap.cencoos.org/erddap/tabledap/wmo_46013.html
Point Arena,"1 hours, 27 minutes",https://erddap.cencoos.org/erddap/tabledap/gov-ndbc-46014.html
Eel River,"1 hours, 17 minutes",https://erddap.cencoos.org/erddap/tabledap/gov-ndbc-46022.html
San Francisco,"1 hours, 17 minutes",https://erddap.cencoos.org/erddap/tabledap/gov-ndbc-46026.html
St Georges,"1 hours, 17 minutes",https://erddap.cencoos.org/erddap/tabledap/gov-ndbc-46027.html
Cape San Martin,"1 hours, 17 minutes",https://erddap.cencoos.org/erddap/tabledap/gov-ndbc-46028.html
Monterey,"577 days, 11 hours, 17 minutes",https://erddap.cencoos.org/erddap/tabledap/wmo_46042.html
West California,"1 hours, 27 minutes",https://erddap.cencoos.org/erddap/tabledap/gov-ndbc-46059.html
Oakland Berth 34,55 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414776.html
Oakland Berth 34 Vis,55 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414797.html
Oakland Middle Harbor,55 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414769.html
"Pittsburg, Suisun Bay",49 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9415115.html
"Point Portrero, Richmond",55 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414847.html
Pier 17 Vis,50 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414296.html
San Francisco Pier 1,56 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414311.html
Union Pacific Railroad Bridge,56 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9415118.html
Oakland Berth 67,50 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414763.html
Alameda,56 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414750.html
Martinez-Amorco Pier,56 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9415102.html
Monterey,50 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9413450.html
Point Reyes,56 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9415020.html
Port Chicago,"16 days, 14 hours, 8 minutes",https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9415144.html
Port San Luis,56 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9412110.html
Redwood City,56 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414523.html
Richmond,56 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414863.html
San Francisco,50 minutes,https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9414290.html
Arena Cove,"1 hours, 3 minutes",https://erddap.cencoos.org/erddap/tabledap/noaa_nos_co_ops_9416841.html
