Product description , number of bytes in error file, time file created
Trinidad glider climate run , 669.0, 2025-06-17 17:45:53
Line 56 glider climate run , 0.0, 2025-06-17 21:06:01
Glider using World Ocean Atlas , 0.0, 2025-06-18 14:18:04
Copy files to webserver , 4344.0, 2025-06-19 14:10:48
Get seaglider files , 0.0, 2025-06-19 14:10:01
Line56 glider climate run , 0.0, 2025-06-17 21:06:01
Trinidad glider climate run , 0.0, 2025-06-17 16:05:01
Climate run with World Ocean Atlas , 0.0, 2025-06-18 14:18:04
OA watch circle alarm , 0.0, 2025-06-19 13:10:01
Push Trinidad files to GliderDAC , 395.0, 2025-06-19 15:00:00
Push Trinidad files to GliderDAC second test , 0.0, 2025-06-19 14:30:01
Push data to Webserver , 878.0, 2025-06-19 13:26:39
River Sonde data access , 524.0, 2025-06-19 11:32:38
Get wind data , 317.0, 2025-06-19 14:05:02
