CDIPName,timeDelta,caloosLink
Cape Mendocino,13 minutes,https://erddap.cencoos.org/erddap/tabledap/edu_ucsd_cdip_094.html
Point Reyes,14 minutes,https://erddap.cencoos.org/erddap/tabledap/edu_ucsd_cdip_029.html
San Francisco Bar,29 minutes,https://erddap.cencoos.org/erddap/tabledap/edu_ucsd_cdip_142.html
Point Sur,59 minutes,https://erddap.cencoos.org/erddap/tabledap/edu_ucsd_cdip_157.html
Cabrillo Point,16 minutes,https://erddap.cencoos.org/erddap/tabledap/edu_ucsd_cdip_158.html
Humboldt North Spit,16 minutes,https://erddap.cencoos.org/erddap/tabledap/edu_ucsd_cdip_168.html
Santa Cruz Basin,24 minutes,https://erddap.cencoos.org/erddap/tabledap/203-santa-cruz-basin-ca-46251.html
Santa Lucia Escarpment,16 minutes,https://erddap.cencoos.org/erddap/tabledap/222-santa-lucia-escarpment-ca-46.html
Pajaro Beach,29 minutes,https://erddap.cencoos.org/erddap/tabledap/edu_ucsd_cdip_266.html
Pajaro Beach South,"26 days, 17 hours, 24 minutes",https://erddap.cencoos.org/erddap/tabledap/edu_ucsd_cdip_267.html
